Auction Date,Branch Name,Stock Number,Year,Make,Model,Series Name,Current Bid,Title/Sale Document,Public,Primary Damage,Secondary Damage,Loss Type,New Inventory Time,Timed Auction,Vehicle Type,Vehicle Subtype,Odometer,ODO Status,Start Code,Air Bags,Key,Exterior Color,Interior Color,Engine,Fuel Type,Cylinders,Vin#,Market,Transmission Type,Seller,Drive Line Type,Body Style,Country of Origin,Offsite,Lane,Run,Aisle,Stall,Seller Type,ACV,Region
"Mon Dec 01, 8:30am CST",New Castle,43249787,2020,HYUNDAI,TUCSON,SE,"$3,450 USD",Salvage,NO,Left Front,Undercarriage,Collision,"Mon Dec 01, 12:35am CST",NO,SUVs,,"85,872 mi",,Run & Drive,Intact Airbags,Key Available,Brown,Gray,"2.0L I-4 DI, DOHC, VVT, 161HP",Gasoline,4 Cyl,KM8J23A40LU189422,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Utility,South Korea,NO,A,11,"AA ",26,Insurance,"$12,888 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43015722,2021,INFINITI,Q50,LUXE AWD,"$3,750 USD",Salvage,NO,Front End,Right Rear,Collision,"Mon Dec 01, 12:34am CST",NO,Automobiles,,"34,772 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"3.0L V-6 DI, DOHC, VVT, turbo, 300HP",Gasoline,6 Cyl,JN1EV7BR9MM752602,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sedan,Japan,NO,A,52,"A  ",22,Insurance,"$27,843 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43297414,2021,JAYCO,JAYFLIGHT," ","$1,850 USD",Salvage,NO,Left Side,,Water,"Mon Dec 01, 12:36am CST",NO,Recreational/ Miscellaneous,Motor Home,0 mi,Not Required/Exempt," ",,Key Available,Gray,Gray,,Other,,1UJBJ0AJ9M17J0818,IAA United States,,State Farm Group Insurance,,,,NO,A,35,"3Y ",11,Insurance,"$12,324 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43463825,2019,KIA,FORTE,S,"$1,100 USD",Salvage,NO,Front End,,Collision,"Mon Dec 01, 12:39am CST",NO,Automobiles,,"128,984 mi",,Run & Drive,Intact Airbags,Key Available,Gray,Black,"2.0L I-4 DOHC, VVT, 147HP",Gasoline,4 Cyl,3KPF34AD9KE021577,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,Mexico,NO,A,27,"A  ",34,Insurance,"$10,961 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43526586,2017,LEXUS,GX 460," ","$12,100 USD",Salvage,NO,Left Side,Left Rear,Collision,"Mon Dec 01, 12:41am CST",NO,SUVs,,"92,053 mi",,Stationary,Deployed Airbags,,Gray,Black,"4.6L V-8 DOHC, VVT, 301HP",Gasoline,8 Cyl,JTJBM7FX6H5173494,IAA United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Sport Utility,Japan,NO,A,36,"AA ",5,Insurance,"$25,824 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43616077,2023,MAZDA,CX-5,2.5 S SELECT,"$4,550 USD",Salvage,NO,Left Front,Front End,Collision,"Mon Dec 01, 12:43am CST",NO,SUVs,,"10,503 mi",,Run & Drive,Deployed Airbags,Key Available,Red,Tan,"2.5L I-4 DI, DOHC, VVT, 187HP",Gasoline,4 Cyl,JM3KFBBM7P0219610,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Sport Utility,Japan,NO,A,46,"AA ",23,Insurance,"$25,963 USD",East
"Mon Dec 01, 8:30am CST",New Castle,42957738,2019,MITSUBISHI,ECLIPSE CROSS,ES,"$3,250 USD",Salvage,NO,Rear,,Collision,"Mon Dec 01, 12:34am CST",NO,SUVs,,"103,783 mi",,Run & Drive,Intact Airbags,Key Available,Black,Black,"1.5L I-4 DI, DOHC, VVT, turbo, 152HP",Gasoline,4 Cyl,JA4AT3AA8KZ029467,IAA United States,Automatic,State Farm Group Insurance,Four Wheel Drive,Sport Utility,Japan,NO,A,13,"A  ",26,Insurance,"$9,994 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43427776,2015,NISSAN,ALTIMA,2.5/2.5 S/2.5 SL/2.5 SV,"$1,050 USD",Salvage,NO,Rear,,Collision,"Mon Dec 01, 12:38am CST",NO,Automobiles,,"134,386 mi",,Run & Drive,Intact Airbags,Key Available,Silver,Black,"2.5L I-4 DOHC, VVT, 182HP",Gasoline,4 Cyl,1N4AL3AP1FC466963,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,30,"A  ",35,Insurance,"$4,404 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43605652,2015,NISSAN,ALTIMA,2.5/2.5 S/2.5 SL/2.5 SV,,Salvage,NO,Front End,Right Front,Collision,"Mon Dec 01, 12:43am CST",NO,Automobiles,,"119,272 mi",,Stationary,Deployed Airbags,Key Available,Silver,Black,"2.5L I-4 DOHC, VVT, 182HP",Gasoline,4 Cyl,1N4AL3AP7FC449360,IAA United States,Automatic,State Farm Group Insurance,Front Wheel Drive,Sedan,United States,NO,A,49,"AA ",34,Insurance,"$8,421 USD",East
"Mon Dec 01, 8:30am CST",New Castle,43385866,2012,NISSAN,JUKE,SL,$25 USD,Salvage,NO,Rear,,Collision,"Mon Dec 01, 12:37am CST",NO,SUVs,,"160,465 mi",,Run & Drive,Intact Airbags,Key Available,Burgundy,Black,"1.6L I-4 DI, DOHC, VVT, turbo, 188HP",Gasoline,4 Cyl,JN8AF5MV3CT108139,IAA United States,Automatic,State Farm Group Insurance,All-Wheel Drive,Utility,Japan,NO,A,33,"AA ",23,Insurance,"$4,553 USD",East
